Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EXTN,Exterran Corporation Common Stock,$5.37,0.24,4.678%,178744966.00,United States,2015,530031,Technology,Diversified Commercial Services
FICO,Fair Isaac Corproation Common Stock,$494.69,-4.27,-0.856%,14235628336.00,United States,,230376,Technology,Computer Software: Prepackaged Software
FLT,FleetCor Technologies Inc. Common Stock,$278.45,1.85,0.669%,23208684982.00,United States,2010,316821,Technology,EDP Services
FLY,Fly Leasing Limited,$16.94,0.01,0.059%,516349309.00,Ireland,2007,105234,Technology,Diversified Commercial Services
FOUR,Shift4 Payments Inc. Class A Common Stock,$93.16,-2.08,-2.184%,7538906763.00,United States,2020,591096,Technology,EDP Services
FSLY,Fastly Inc. Class A Common Stock,$48.77,1.48,3.13%,5642689000.00,,2019,3799000,Technology,Computer Software: Prepackaged Software
FSS,Federal Signal Corporation Common Stock,$42.61,-0.14,-0.327%,2599525868.00,United States,,228992,Technology,Industrial Machinery/Components
FTAI,Fortress Transportation and Infrastructure Investors LLC Common Shares,$28.16,-0.74,-2.561%,2411362004.00,United States,2015,229477,Technology,Diversified Commercial Services
GB,Global Blue Group Holding AG Ordinary Shares,$9.46,-0.14,-1.458%,1774080741.00,,2000,36768,Technology,EDP Services
GDDY,GoDaddy Inc. Class A Common Stock,$80.91,-1.75,-2.117%,13605480762.00,United States,2015,1014294,Technology,EDP Services
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$41.04,1.03,2.574%,2233802686.00,United States,2010,477875,Technology,Advertising
GTLS,Chart Industries Inc. Common Stock,$142.50,-6.68,-4.478%,5179666095.00,United States,2006,550335,Technology,Electrical Products
GWRE,Guidewire Software Inc. Common Stock,$97.89,0.49,0.503%,8197233323.00,United States,2012,606634,Technology,Computer Software: Prepackaged Software
HAYW,Hayward Holdings Inc. Common Stock,$25.10,-0.90,-3.462%,5800641551.00,,2021,308186,Technology,Electronic Components
HPE,Hewlett Packard Enterprise Company Common Stock,$16.07,-0.02,-0.124%,20909408089.00,United States,2015,18204026,Technology,Electronic Components
HPQ,HP Inc. Common Stock,$29.78,-0.08,-0.268%,37123700888.00,United States,,11184011,Technology,Computer Manufacturing
HRI,Herc Holdings Inc. Common Stock ,$111.00,-6.25,-5.33%,3286523631.00,,2016,418970,Technology,Diversified Commercial Services
HUBS,HubSpot Inc. Common Stock,$483.32,-8.71,-1.77%,22583502056.00,United States,2014,413225,Technology,Computer Software: Prepackaged Software
IBM,International Business Machines Corporation Common Stock,$145.72,1.53,1.061%,130204146496.00,United States,,2784318,Technology,EDP Services
INFO,IHS Markit Ltd. Common Shares,$105.46,1.49,1.433%,44688066812.00,Bermuda,1996,2304998,Technology,EDP Services
INFY,Infosys Limited American Depositary Shares,$19.29,0.02,0.104%,81897994503.00,India,,6886351,Technology,EDP Services
INS,Intelligent Systems Corporation Common Stock,$31.49,-1.15,-3.523%,279705202.00,United States,1992,101500,Technology,Computer Software: Prepackaged Software
INSW,International Seaways Inc. Common Stock ,$19.86,-0.42,-2.071%,557808038.00,,2016,299124,Technology,Semiconductors
IPG,Interpublic Group of Companies Inc. (The) Common Stock,$33.93,-0.06,-0.177%,13347235737.00,United States,,3721384,Technology,Advertising
JBL,Jabil Inc. Common Stock,$56.63,0.18,0.319%,8426428645.00,United States,1993,674912,Technology,Electrical Products
JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),$41.83,2.41,6.114%,1994409558.00,China,2010,1911014,Technology,Semiconductors
JNPR,Juniper Networks Inc. Common Stock,$26.47,0.04,0.151%,8675280976.00,United States,1999,2005175,Technology,Computer peripheral equipment
JT,Jianpu Technology Inc. American depositary shares,$2.65,-0.10,-3.636%,56130641.00,,2017,160647,Technology,EDP Services
KAI,Kadant Inc Common Stock,$170.90,1.97,1.166%,1978642602.00,United States,,46663,Technology,Industrial Machinery/Components
KFY,Korn Ferry Common Stock,$66.46,-0.11,-0.165%,3589289868.00,United States,1999,195512,Technology,Diversified Commercial Services
LDL,Lydall Inc. Common Stock,$36.52,-0.57,-1.537%,658053697.00,United States,,56060,Technology,Industrial Machinery/Components
LDOS,Leidos Holdings Inc. Common Stock,$103.70,0.50,0.484%,14665270488.00,United States,,533055,Technology,EDP Services
LEAF,Leaf Group Ltd. Common Stock,$8.45,-0.01,-0.118%,304471203.00,United States,,455476,Technology,EDP Services
LINX,Linx S.A. American Depositary Shares each representing one common share,$7.34,0.04,0.548%,1292334606.00,,2019,15411,Technology,Computer Software: Prepackaged Software
MAN,ManpowerGroup Common Stock,$121.99,-0.46,-0.376%,6651592827.00,United States,,200946,Technology,Professional Services
MCO,Moody's Corporation Common Stock,$335.00,4.08,1.233%,62712000000.00,United States,,511251,Technology,Advertising
MDLA,Medallia Inc. Common Stock,$27.49,2.42,9.653%,4318929351.00,United States,2019,5630226,Technology,EDP Services
MFC,Manulife Financial Corporation Common Stock,$20.89,-0.17,-0.807%,40568078578.00,Canada,,2229164,Technology,Advertising
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,$7.35,-0.03,-0.407%,2466280578.00,,2017,513298,Technology,Computer Software: Prepackaged Software
MIXT,MiX Telematics Limited American Depositary Shares each representing 25 Ordinary Shares,$14.80,-0.52,-3.394%,326655684.00,South Africa,2013,70955,Technology,Computer Software: Prepackaged Software
MODN,Model N Inc. Common Stock,$34.17,-0.27,-0.784%,1215328559.00,United States,2013,235218,Technology,EDP Services
MSCI,MSCI Inc Common Stock,$468.87,6.90,1.494%,38645506499.00,United States,,303283,Technology,Advertising
MSI,Motorola Solutions Inc. Common Stock,$207.59,2.45,1.194%,35221314729.00,United States,,701126,Technology,Radio And Television Broadcasting And Communications Equipment
MSP,Datto Holding Corp. Common Stock,$26.40,0.14,0.533%,4257679087.00,United States,2020,1240669,Technology,Computer Software: Prepackaged Software
MX,Magnachip Semiconductor Corporation Common Stock,$23.79,0.67,2.898%,1097449972.00,Luxembourg,2011,738603,Technology,Semiconductors
MXL,MaxLinear Inc. Common Stock,$38.33,-0.19,-0.493%,2889239200.00,United States,2010,277320,Technology,Semiconductors
NET,Cloudflare Inc. Class A Common Stock,$83.86,0.79,0.951%,26049097031.00,United States,2019,1981840,Technology,EDP Services
NEWR,New Relic Inc. Common Stock,$63.43,0.70,1.116%,4046466867.00,United States,2014,574174,Technology,Computer Software: Prepackaged Software
NOK,Nokia Corporation Sponsored American Depositary Shares,$5.45,0.26,5.01%,30679853950.00,Finland,1994,120420007,Technology,Radio And Television Broadcasting And Communications Equipment
NOW,ServiceNow Inc. Common Stock,$467.01,-2.16,-0.46%,92210184409.00,United States,2012,1032208,Technology,Computer Software: Prepackaged Software
NPTN,NeoPhotonics Corporation Common Stock,$10.26,0.09,0.885%,526643020.00,United States,2011,625156,Technology,Semiconductors
NSP,Insperity Inc. Common Stock,$88.78,-2.88,-3.142%,3433565701.00,United States,,236513,Technology,Professional Services
OCFT,OneConnect Financial Technology Co. Ltd. American Depositary Shares each representing three ordinary shares,$14.45,-0.05,-0.345%,5635406841.00,China,2019,1209345,Technology,Computer Software: Programming Data Processing
OLO,Olo Inc. Class A Common Stock,$35.95,1.02,2.92%,5303107916.00,,2021,424614,Technology,Computer Software: Prepackaged Software
OMC,Omnicom Group Inc. Common Stock,$82.65,-0.37,-0.446%,17776425723.00,United States,,1734058,Technology,Advertising
ONTF,ON24 Inc. Common Stock,$32.48,0.28,0.87%,1506023903.00,,2021,1126710,Technology,Computer Software: Prepackaged Software
ONTO,Onto Innovation Inc. Common Stock,$70.97,-1.09,-1.513%,3480344173.00,United States,,567074,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$80.27,0.70,0.88%,231461354450.00,United States,1986,12249194,Technology,Computer Software: Prepackaged Software
PAGS,PagSeguro Digital Ltd. Class A Common Shares,$50.90,2.24,4.603%,16738349762.00,Cayman Islands,2018,3445549,Technology,EDP Services
PANW,Palo Alto Networks Inc. Common Stock,$357.67,-2.68,-0.744%,34833795334.00,United States,2012,784312,Technology,EDP Services
PAR,PAR Technology Corporation Common Stock,$67.23,-0.79,-1.161%,1746577448.00,United States,,744298,Technology,Computer Software: Prepackaged Software
PATH,UiPath Inc. Class A Common Stock,$81.00,0.19,0.235%,42051452211.00,,2021,881833,Technology,Computer Software: Prepackaged Software
PAY,Paymentus Holdings Inc. Class A Common Stock,$33.50,1.75,5.512%,3931566332.00,,2021,1230779,Technology,Retail: Computer Software & Peripheral Equipment
PAYC,Paycom Software Inc. Common Stock,$324.81,-0.66,-0.203%,19548128578.00,,2014,284699,Technology,Computer Software: Prepackaged Software
PCOR,Procore Technologies Inc. Common Stock,$86.57,0.15,0.174%,11092627385.00,,2021,389772,Technology,EDP Services
PD,PagerDuty Inc. Common Stock,$42.04,1.68,4.163%,3512771804.00,,2019,1054628,Technology,Retail: Computer Software & Peripheral Equipment
PING,Ping Identity Holding Corp. Common Stock,$24.34,0.23,0.954%,1996658369.00,United States,2019,657120,Technology,EDP Services
